blue,green,red,nir,swir1,swir2,blue_sd,green_sd,red_sd,nir_sd,swir1_sd,swir2_sd,NDWI,NDVI,NDTI,BR,GR,NBR,BG,MNDWI,pixelCount,clouds,pwater,qa,sat_5,sat_7,sat_8,type_Estuary,type_Facility,type_Lake,type_Stream,month_sin,month_cos,month_num
431.99999999999983,452.9999999999999,298.0,166.0,30.0,42.99999999999999,40.063579092116,47.307567403401514,34.022192894135685,30.250182916432607,43.894144424100546,54.40062749060492,0.46365105008077534,-0.28448275862068967,-0.20639147802929417,1.4496644295302008,1.520134228187919,0.3842592592592594,0.9536423841059601,0.8757763975155279,138,7.0,99.0,68.0,True,False,False,False,False,False,True,-2.4492935982947064e-16,1.0,12
318.00000000000006,310.0,135.99999999999997,150.0,24.999999999999993,4.0,24.44747215639538,17.73397546841852,19.945304945560594,23.18048004890693,21.663007058346437,27.387590457084993,0.34782608695652173,0.04895104895104905,-0.39013452914798213,2.338235294117648,2.2794117647058827,0.47169811320754707,1.0258064516129035,0.8507462686567164,123,31.0,93.99999999999996,68.0,False,True,False,False,False,True,False,-0.8660254037844384,-0.5000000000000004,8
381.0,484.0,341.0,265.0,92.0,49.0,50.37148691572948,58.69509225306084,80.50965912621929,204.22531197705683,103.59620089320929,72.12506285167466,0.2923898531375167,-0.1254125412541254,-0.17333333333333334,1.1173020527859236,1.4193548387096775,0.6955380577427821,0.7871900826446281,0.6805555555555556,27,16.0,96.0,68.0,True,False,False,False,False,False,True,-0.8660254037844384,-0.5000000000000004,8
173.0,194.0,120.0,199.0,84.0,59.0,23.659317691122588,22.293496809607948,27.42059542122376,59.82505313201586,56.16971588185685,37.805109857808205,-0.01272264631043257,0.2476489028213166,-0.2356687898089172,1.4416666666666667,1.6166666666666667,1.1502890173410405,0.8917525773195877,0.39568345323741005,26,1.0,85.0,68.0,False,True,False,False,False,False,True,0.8660254037844386,0.5000000000000001,2
200.0,294.0,213.0,259.0,52.0,40.0,24.196190222879597,23.702045950687868,25.630048932532677,71.98594537380849,42.68489194082609,19.617043670412315,0.06329113924050633,0.09745762711864407,-0.15976331360946747,0.9389671361502347,1.380281690140845,1.295,0.6802721088435374,0.6994219653179191,13,0.0,51.0,68.0,False,True,False,False,False,False,True,-0.8660254037844384,-0.5000000000000004,8
246.0,264.0,208.0,229.0,102.0,66.0,30.87944993133512,24.641490054471863,33.75055709233259,29.338539937831086,32.10809973154728,36.192578244389,0.07099391480730223,0.04805491990846682,-0.11864406779661017,1.1826923076923077,1.2692307692307692,0.9308943089430894,0.9318181818181818,0.4426229508196721,116,12.0,94.99999999999994,68.0,False,True,False,False,False,True,False,0.8660254037844387,-0.49999999999999983,4
496.0,492.0,320.0,205.0,120.0,98.0,32.62631842619114,26.848915265731748,27.618498210852756,21.388171473354564,24.16538572909301,35.68851989781652,0.4117647058823529,-0.21904761904761905,-0.21182266009852216,1.55,1.5375,0.41330645161290325,1.008130081300813,0.6078431372549019,129,47.0,99.0,68.0,False,True,False,True,False,False,False,-2.4492935982947064e-16,1.0,12
392.0,692.0,539.0,500.0,182.0,79.0,17.677057655247694,27.64034318579566,27.93818248949494,80.25008868963249,32.6620293806938,28.29878485889096,0.1610738255033557,-0.03753609239653513,-0.12428919577579203,0.7272727272727273,1.2838589981447124,1.2755102040816326,0.5664739884393064,0.5835240274599542,35,23.0,83.0,68.0,True,False,False,False,False,False,True,0.49999999999999994,-0.8660254037844387,5
542.0,678.0,534.0,476.0,160.99999999999997,112.0,28.14863060897824,27.500658455427597,31.782391610419054,33.823898858607194,33.76124630288327,34.95793404304262,0.17504332755632582,-0.05742574257425743,-0.1188118811881188,1.0149812734082397,1.2696629213483146,0.8782287822878229,0.799410029498525,0.6162097735399285,94,34.0,93.0,68.0,False,True,False,False,False,False,True,-0.8660254037844384,-0.5000000000000004,8
601.0,799.5,676.5,1107.5,374.5,251.0,29.0,19.5,15.5,18.5,24.5,0.0,-0.16151022548505506,0.24159192825112108,-0.08333333333333333,0.8883961566888396,1.1818181818181819,1.8427620632279533,0.7517198248905566,0.36201022146507666,2,10.0,85.0,66.0,True,False,False,False,False,True,False,1.2246467991473532e-16,-1.0,6
